"id","name","username","first_name","middle_name","last_name","gender","locale","category","likes","picture","birthday","location","hometown","relationship_status"
"313932592104949","NC Senator Terry Van Duyn",NA,NA,NA,NA,NA,NA,"Politician",7619,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.1.200.200/p200x200/10390963_317697125061829_4133690317186279241_n.jpg?oh=87d86e0f70c20db9d41ab0ff0d2ad736&oe=58E9DDE9",NA,NA,NA,NA
"1502595483374872","Senator Chuck Edwards",NA,NA,NA,NA,NA,NA,"Public Figure",605,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14962557_1620903764877376_2179560300819513082_n.jpg?oh=57b579455701b8abc6e063a06f046fa5&oe=58E8922D",NA,NA,NA,NA
"174626401646","Ralph Hise for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",2608,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.40.200.200/p200x200/1915604_174627081646_2413934_n.jpg?oh=1794d228a360440eb0e074d14bd5f211&oe=58E8F65F",NA,NA,NA,NA
"231175271825","Warren Daniel for NC Senate",NA,NA,NA,NA,NA,NA,"Government Official",1240,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/1394101_10151971654851826_926749457_n.jpg?oh=228a93ae9e8a06f4cf57cad55868a549&oe=58EDF227",NA,NA,NA,NA
"1131221170238721","Deanna Ballard for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",1115,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/10462534_1131502590210579_6404972354126929326_n.jpg?oh=f92ae0473a94cff591894b3eb7390e14&oe=58E49E08",NA,NA,NA,NA
"194513763973445","Senator Dr David Curtis",NA,NA,NA,NA,NA,NA,"Politician",946,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.64.200.200/p200x200/1186817_963225740435573_8754034101952009254_n.jpg?oh=5794574cdd162bdea0d3f82a5abe0dd3&oe=58F46D34",NA,NA,NA,NA
"154574321321913","Jeff Tarte",NA,NA,NA,NA,NA,NA,"Politician",992,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/12509694_847213508724654_998052278736491263_n.jpg?oh=51a7a6368ad277da0d4dd20f31094519&oe=58F4D5DF",NA,NA,NA,NA
"243693802484864","Joyce Waddell for NC Senate District 40",NA,NA,NA,NA,NA,NA,"Politician",866,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/12541166_480726582114917_6765470202108297543_n.jpg?oh=1348102cd88fce3e2c5ba384865381b7&oe=58B19B83",NA,NA,NA,NA
"132655016864283","Joel Ford for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",867,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/12715493_801191553343956_961680982723568903_n.jpg?oh=6d94f668dc4a83a8132f59de7f739386&oe=58E3B17A",NA,NA,NA,NA
"245711905631405","Jeff Jackson - NC Senate District 37",NA,NA,NA,NA,NA,NA,"Government Official",48547,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.13.623.623/s200x200/10363898_258703267665602_5867363798458500229_n.jpg?oh=d241dff305f50231918aade208c970f8&oe=58DCAA85",NA,NA,NA,NA
"112389912884","Senator Fletcher Hartsell, Jr.",NA,NA,NA,NA,NA,NA,"Politician",228,"https://scontent.xx.fbcdn.net/v/t1.0-1/c59.0.200.200/p200x200/399548_10149999285987789_1102888142_n.png?oh=e36afa8ee0016060f7081e530a1307ae&oe=58DF3BC6",NA,NA,NA,NA
"135920503156492","Tommy Tucker",NA,NA,NA,NA,NA,NA,"Politician",3354,"https://scontent.xx.fbcdn.net/v/t1.0-1/c55.0.200.200/p200x200/12800375_969745509773983_7089110465658243652_n.jpg?oh=25799f824a4693248894d6ceec7cc617&oe=58E4B1F8",NA,NA,NA,NA
"36906410211","Andrew Brock",NA,NA,NA,NA,NA,NA,"Politician",2153,"https://scontent.xx.fbcdn.net/v/t1.0-1/c3.0.200.200/p200x200/13418864_10156910531765212_1530977396414479595_n.jpg?oh=930d3ff1430cada8ef364e71437e7314&oe=58F3F0A8",NA,NA,NA,NA
"1687926628094308","Cathy Dunn for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",78,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/12047123_1695985207288450_7732692894539269976_n.jpg?oh=088d78c38dc6768c1932eb18d8dec16d&oe=58B38F6B",NA,NA,NA,NA
"1395720910732423","Senator Paul Lowe Jr.",NA,NA,NA,NA,NA,NA,"Politician",595,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/560249_1395721810732333_8889734434377046428_n.jpg?oh=7c142acc08450aa630aa2a598119ba88&oe=58F0EF1B",NA,NA,NA,NA
"590322164393637","Joyce Krawiec for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",798,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/10251923_619997138092806_1723980051_n.jpg?oh=0cc07f64e5850f2960575e7379cddc38&oe=58F25CF3",NA,NA,NA,NA
"112082523325","Senator Jerry Tillman",NA,NA,NA,NA,NA,NA,"Politician",4254,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/1653717_10152592920238326_1073609765497188920_n.jpg?oh=aca34eabeba85433abdfa79d2c055bba&oe=58F00112",NA,NA,NA,NA
"100002740231833","Gladys A. Robinson",NA,"Gladys A.",NA,"Robinson",NA,NA,NA,NA,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/12002843_673204399447562_4709627419083147190_n.jpg?oh=2e34286fc5030729ffb8019385cabae4&oe=58DFAC9A",NA,NA,NA,NA
"582006198515549","Trudy Wade for Senate",NA,NA,NA,NA,NA,NA,"Politician",102,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14034937_1061675203881977_1531020069334178298_n.jpg?oh=f00bf9f2f624aba504b7f73e22d86a39&oe=58F16280",NA,NA,NA,NA
"56158390063","Phil Berger",NA,NA,NA,NA,NA,NA,"Politician",120083,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.32.200.200/p200x200/12472260_10153192304575064_2047545985979993512_n.jpg?oh=d93dba6483675bdfa9f4a335f691b562&oe=58FBAA41",NA,NA,NA,NA
"658238950913695","Tom McInnis NC State Senate",NA,NA,NA,NA,NA,NA,"Government Official",1311,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/10488195_658383664232557_4623640885037893843_n.jpg?oh=41058befccf97d47837fb79ea3b4648d&oe=58E7EFB7",NA,NA,NA,NA
"253969607079","Rick Gunn for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",1351,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/1653462_10152845462997080_1641716969_n.jpg?oh=b164657910bcd9b7f91d229cebb7dc9e&oe=58F1ACF1",NA,NA,NA,NA
"234725646679655","State Senator Valerie Foushee",NA,NA,NA,NA,NA,NA,"Public Figure",933,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/11205165_488013131350904_575985403590529693_n.jpg?oh=594503d18cc9982cfbe006603826cdb9&oe=58B06A54",NA,NA,NA,NA
"917050374974702","Senator Mike Woodard",NA,NA,NA,NA,NA,NA,"Government Official",543,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/10392583_970895506256855_1715436221866105430_n.jpg?oh=23cce633519b35fe8e5940ff4f11663c&oe=58EBA8F9",NA,NA,NA,NA
"1548034322105769","NC Senator Floyd B. McKissick Jr.",NA,NA,NA,NA,NA,NA,"Politician",11123,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14992026_1789331477976051_3206123702782579987_n.jpg?oh=d7ee24aff429ed1c3ccab7eedba05d5f&oe=58E56F0F",NA,NA,NA,NA
"200126263402549","Chad Barefoot for NC Senate",NA,NA,NA,NA,NA,NA,"Politician",1755,"https://scontent.xx.fbcdn.net/v/t1.0-1/c46.46.576.576/s200x200/580808_345386108876563_1999653686_n.jpg?oh=b4a1f208353f8089e5407e56768f90c5&oe=58EB7DDB",NA,NA,NA,NA
"725902877520868","N.C. Senator Jay Chaudhuri",NA,NA,NA,NA,NA,NA,"Public Figure",2289,"https://scontent.xx.fbcdn.net/v/t1.0-1/c50.0.200.200/p200x200/13726679_937192856391868_5191616899245815247_n.jpg?oh=604a7f5964b34d03efdbb5732757ab95&oe=58E3A477",NA,NA,NA,NA
"1447355478838124","NC Senator Dan Blue, Jr",NA,NA,NA,NA,NA,NA,"Politician",1415,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.194.194/10526188_1658621104378226_7607130838467910230_n.png?oh=5e681d9dd29bb6d0c36a7888844f9022&oe=58B258CB",NA,NA,NA,NA
"100001888692464","Jane Smith",NA,"Jane",NA,"Smith",NA,NA,NA,NA,"https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/1779739_759821827424100_1654876213686957210_n.jpg?oh=682b5827ae297d23e5a19ccc5461762f&oe=58F5F00F",NA,NA,NA,NA
"450567764965243","Senator Ronald J. Rabin",NA,NA,NA,NA,NA,NA,"Government Official",1458,"https://scontent.xx.fbcdn.net/v/t1.0-1/c0.7.200.200/p200x200/10299127_782336725121677_550365775640151367_n.jpg?oh=bd37818a01e989d3fe1baf0ef4260af2&oe=58B10574",NA,NA,NA,NA
"1493930284209610","Buck Newton",NA,NA,NA,NA,NA,NA,"Politician",4442,"https://scontent.xx.fbcdn.net/v/t1.0-1/c50.0.200.200/p200x200/13932938_1750773888525247_3352950169328480756_n.jpg?oh=0a2877a80282d34d3f2544e2ba7326f8&oe=58E2D0F4",NA,NA,NA,NA
